symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2018-11-08 00:00:00+00:00,68.72,68.98,67.63,67.78,14081663,62.8607396732,63.0985713425,61.8636761365,62.000886715,14081663,0.0,1.0
SBUX,2018-11-09 00:00:00+00:00,68.6,68.96,68.08,68.49,8637203,62.7509712105,63.0802765988,62.2753078719,62.6503501196,8637203,0.0,1.0
SBUX,2018-11-12 00:00:00+00:00,67.91,68.94,67.8,68.44,12789647,62.1198025496,63.061981855,62.0191814588,62.6046132601,12789647,0.0,1.0
SBUX,2018-11-13 00:00:00+00:00,67.41,68.28,67.1,67.94,16636978,61.6624339548,62.4582553098,61.378865426,62.1472446653,16636978,0.0,1.0
SBUX,2018-11-14 00:00:00+00:00,67.04,67.95,66.73,67.3,13350450,61.6532865829,62.4901674121,61.3681953114,61.8923953912,13350450,0.36,1.0
SBUX,2018-11-15 00:00:00+00:00,67.62,67.76,66.36,66.71,15246503,62.1866831554,62.3154340522,61.0279250841,61.3498023261,15246503,0.0,1.0
SBUX,2018-11-16 00:00:00+00:00,68.16,68.53,67.09,67.3,9287882,62.6832937573,63.0235639846,61.699269046,61.8923953912,9287882,0.0,1.0
SBUX,2018-11-19 00:00:00+00:00,67.91,68.47,67.23,68.1,10855387,62.4533814416,62.9683850288,61.8280199428,62.6281148015,10855387,0.0,1.0
SBUX,2018-11-20 00:00:00+00:00,67.18,67.88,66.76,67.39,11208855,61.7820374797,62.4257919637,61.3957847893,61.9751638249,11208855,0.0,1.0
SBUX,2018-11-21 00:00:00+00:00,66.77,67.98,66.75,67.47,10978166,61.4049812819,62.51775689,61.3865882967,62.0487357659,10978166,0.0,1.0
SBUX,2018-11-23 00:00:00+00:00,65.7,66.24,65.26,66.24,7779765,60.4209565706,60.9175671726,60.016310895,60.9175671726,7779765,0.0,1.0
SBUX,2018-11-26 00:00:00+00:00,65.69,66.12,65.21,65.98,13066763,60.411760078,60.807209261,59.9703284318,60.6784583642,13066763,0.0,1.0
SBUX,2018-11-27 00:00:00+00:00,66.08,66.55,65.31,65.46,13169085,60.7704232905,61.2026584441,60.0622933581,60.2002407476,13169085,0.0,1.0
SBUX,2018-11-28 00:00:00+00:00,66.82,66.99,65.48,66.18,12867734,61.4509637451,61.6073041197,60.2186337328,60.8623882168,12867734,0.0,1.0
SBUX,2018-11-29 00:00:00+00:00,66.88,67.28,66.12,66.68,9605484,61.5061427008,61.874002406,60.807209261,61.3222128483,9605484,0.0,1.0
SBUX,2018-11-30 00:00:00+00:00,66.72,67.38,66.65,66.86,27309197,61.3589988188,61.9659673323,61.2946233704,61.4877497156,27309197,0.0,1.0
SBUX,2018-12-03 00:00:00+00:00,67.5,68.06,66.66,67.37,13834742,62.0763252438,62.591328831,61.303819863,61.9567708396,13834742,0.0,1.0
SBUX,2018-12-04 00:00:00+00:00,66.65,68.15,66.45,67.47,13555064,61.2946233704,62.6740972647,61.1106935178,62.0487357659,13555064,0.0,1.0
SBUX,2018-12-06 00:00:00+00:00,66.55,66.67,65.59,66.13,17222196,61.2026584441,61.3130163556,60.3197951517,60.8164057537,17222196,0.0,1.0
SBUX,2018-12-07 00:00:00+00:00,65.47,66.64,65.2,66.17,11057454,60.2094372402,61.2854268777,59.9611319392,60.8531917242,11057454,0.0,1.0
SBUX,2018-12-10 00:00:00+00:00,65.49,65.8,64.45,65.47,12148308,60.2278302254,60.5129214969,59.2713949921,60.2094372402,12148308,0.0,1.0
SBUX,2018-12-11 00:00:00+00:00,65.92,66.92,65.52,66.22,10903364,60.6232794085,61.5429286713,60.2554197033,60.8991741873,10903364,0.0,1.0
SBUX,2018-12-12 00:00:00+00:00,66.13,66.93,66.0,66.0,11116217,60.8164057537,61.552125164,60.6968513495,60.6968513495,11116217,0.0,1.0
SBUX,2018-12-13 00:00:00+00:00,66.91,67.22,66.13,66.29,10016213,61.5337321787,61.8188234502,60.8164057537,60.9635496357,10016213,0.0,1.0
SBUX,2018-12-14 00:00:00+00:00,65.34,65.84,63.58,64.44,16834020,60.089882836,60.5497074674,58.4713001334,59.2621984994,16834020,0.0,1.0
SBUX,2018-12-17 00:00:00+00:00,64.47,65.63,64.08,65.0,15143054,59.2897879773,60.3565811222,58.9311247648,59.7772020866,15143054,0.0,1.0
